14:25:01.143 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 12 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 13 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 14 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 15 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 16 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 17 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.144 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 18 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.144 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 19 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.145 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.145 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 20 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
